gene,num_isoforms,top_predicted_isoforms,avg_pred_total,avg_true_total
RPL6P27,3,"ENST00000583065, ENST00000489915, ENST00000693647",1.113252878189087,8.463334083557129
ENSG00000261146,1,ENST00000566529,1.1131609678268433,2.06333327293396
USP17L26,1,ENST00000509660,1.1130342483520508,3.140000104904175
LINC01837,3,"ENST00000656165, ENST00000651930, ENST00000636649",1.11260986328125,3.0500001907348633
FER,2,"ENST00000618353, ENST00000438717",1.1125786304473877,3.6466667652130127
FABP12,2,"ENST00000360464, ENST00000692030",1.1125354766845703,7.426667213439941
ENSG00000275942,1,ENST00000613562,1.1123281717300415,29.549999237060547
CALML3-AS1,4,"ENST00000542093, ENST00000651240, ENST00000545372",1.1121877431869507,81.14667510986328
CUL1P1,1,ENST00000509510,1.1121795177459717,1.996666669845581
ENSG00000289257,1,ENST00000687653,1.1120318174362183,2.5366666316986084
CLTRN,2,"ENST00000380342, ENST00000650271",1.1119458675384521,42.883331298828125
ENSG00000235450,1,ENST00000456952,1.1117793321609497,2.2733333110809326
ENSG00000273068,1,ENST00000610215,1.111763596534729,42.40999984741211
ENSG00000285631,1,ENST00000647973,1.1115559339523315,1.9299999475479126
RNU6-26P,1,ENST00000383985,1.1110868453979492,5.7133331298828125
RPL18P10,1,ENST00000425606,1.110811710357666,4.1566667556762695
ENSG00000240813,1,ENST00000478739,1.110808253288269,2.5933332443237305
MTND1P37,1,ENST00000636562,1.110537052154541,42.88666534423828
CLEC9A,3,"ENST00000538482, ENST00000355819, ENST00000544751",1.110534429550171,8.65333366394043
ENSG00000244545,1,ENST00000496084,1.1102582216262817,10.203332901000977
RPL4P1,1,ENST00000496596,1.110109806060791,2.743333339691162
ENSG00000258320,1,ENST00000551714,1.109615445137024,3.7033333778381348
FGF5,3,"ENST00000503413, ENST00000380628, ENST00000507780",1.1087934970855713,3.986666679382324
ENSG00000288744,1,ENST00000687513,1.108466386795044,5.483333110809326
MRGPRX13P,1,ENST00000529793,1.108384609222412,5.986666679382324
ENSG00000259457,1,ENST00000558010,1.1083152294158936,3.1533334255218506
CEP55,3,"ENST00000445435, ENST00000496302, ENST00000371485",1.1082851886749268,13.539999961853027
RPL21P92,1,ENST00000454107,1.1068542003631592,105.28333282470703
CDRT15P11,1,ENST00000508655,1.1067544221878052,5.426666736602783
GSTT2,2,"ENST00000621118, ENST00000634759",1.106560468673706,3.4533333778381348
RNU6-148P,1,ENST00000517014,1.106385350227356,1.84333336353302
MTCO1P57,1,ENST00000432182,1.1063774824142456,2.43666672706604
ENSG00000215444,1,ENST00000400354,1.1063259840011597,20.643333435058594
RNU6-421P,1,ENST00000364471,1.1062554121017456,5.1566667556762695
SLC5A4-AS1,2,"ENST00000452181, ENST00000434942",1.1060047149658203,3.9166665077209473
MIR550B2,1,ENST00000637473,1.1057531833648682,5.5966668128967285
